Journal Report 1 (R4)	Number of Successful Full-Text Article Requests by Month and Journal
BADISCHE LANDESBIBLIOTHEK
BADISCHE LANDESBIBLIOTHEK
Period covered by Report:
2019-01-01 to 2019-04-30
Date run:
2019-09-17
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2019	Feb-2019	Mar-2019	Apr-2019
Art Bulletin	Routledge	EBSCOhost		7482	0004-3079	1559-6478	6	5	1	2	0	3	1
Art Journal	Routledge	EBSCOhost		2613705	0004-3249	2325-5307	3	3	0	3	0	0	0
Art Monthly	Art Monthly	EBSCOhost		7508	0142-6702	2059-5255	3	2	1	0	0	2	1
Art history	Wiley-Blackwell	EBSCOhost		7500	0141-6790	1467-8365	4	3	1	0	1	1	2
Art in America	Brant Publishing	EBSCOhost		7501	0004-3214		2	1	1	0	1	0	1
Arts & Activities	Publishers Development Corporation	EBSCOhost		7594	0004-3931		4	3	1	0	4	0	0
Asia-Pacific Forum on Science Learning & Teaching	Asia-Pacific Forum on Science Learning & Teaching	EBSCOhost		194279		1609-4913	1	0	1	0	0	0	1
Asian Folklore Studies	Nanzan University	EBSCOhost		7812	0385-2342		1	0	1	0	0	1	0
Asian-Pacific Journal of Second and Foreign Language Education	Springer Berlin Heidelberg	EBSCOhost		10264481		2363-5169	1	1	0	1	0	0	0
Atenea (Chile)	University of Puerto Rico at Mayaguez	EBSCOhost		186329	0885-6079		2	0	2	1	0	0	1
Attachment & Human Development	Taylor & Francis	EBSCOhost		8217	1461-6734	1469-2988	3	3	0	0	0	0	3
Australian Aboriginal Studies	Australian Institute of Aboriginal and Torres Strait Island Studies	EBSCOhost		8500	0729-4352		1	0	1	0	0	0	1
BMC Gastroenterology	BioMed Central	EBSCOhost		98739		1471-230X	1	0	1	0	0	1	0
BMC Health Services Research	BioMed Central	EBSCOhost		100304		1472-6963	3	0	3	0	0	0	3
BMC Public Health	BioMed Central	EBSCOhost		100332		1471-2458	1	1	0	0	0	1	0
Behaviour & information technology	Taylor & Francis	EBSCOhost		9566	0144-929X	1362-3001	1	0	1	0	1	0	0
Berkeley technology law journal	University of California School of Law	EBSCOhost		9944	1086-3818	2380-4742	1	0	1	0	0	0	1
Bilingual Review / La Revista Bilingüe	Arizona State University / Hispanic Research Center	EBSCOhost		10274	0094-5366	2327-624X	1	0	1	0	1	0	0
Billboard	Prometheus Global Media	EBSCOhost		10285	0006-2510		1	1	0	0	0	1	0
BioScience	Oxford University Press	EBSCOhost		10683	0006-3568	1525-3244	2	1	1	2	0	0	0
BioScience	Oxford University Press	EBSCOhost		2444188	0006-3568	1525-3244	9	4	5	9	0	0	0
Biography (Honolulu)	University of Hawaii Press	EBSCOhost		10446	0162-4962	1529-1456	3	0	3	0	2	1	0
Biography (New York, NY)	A&E Television Networks, LLC	EBSCOhost		90368	1092-7891		1	1	0	0	1	0	0
Bipolar disorders	Wiley	EBSCOhost		10745	1398-5647	1399-5618	1	0	1	1	0	0	0
Booklist	American Library Association	EBSCOhost		11635	0006-7385		8	0	8	1	3	2	2
British Journal of Developmental Psychology	Wiley-Blackwell	EBSCOhost		785348	0261-510X	2044-835X	1	0	1	0	1	0	0
British Journal of Educational Psychology	Wiley-Blackwell	EBSCOhost		785349	0007-0998	2044-8279	1	1	0	1	0	0	0
British Journal of Guidance & Counselling	Taylor & Francis	EBSCOhost		12062	0306-9885	1469-3534	1	0	1	0	0	1	0
British Journal of Psychology	Wiley	EBSCOhost		12116	0007-1269	2044-8295	2	0	2	1	0	0	1
British educational research journal	Wiley-Blackwell	EBSCOhost		11992	0141-1926	1469-3518	3	1	2	3	0	0	0
British journal of educational technology	Wiley-Blackwell	EBSCOhost		12054	0007-1013	1467-8535	2	2	0	1	0	1	0
Brno Studies in English	Masaryk University	EBSCOhost		576998	0524-6881	1805-0867	1	0	1	1	0	0	0
Bulletin of Latin American Research	Wiley	EBSCOhost		13342	0261-3050	1470-9856	1	0	1	0	0	0	1
Bulletin of the Atomic Scientists	Taylor & Francis	EBSCOhost		13436	0096-3402	1938-3282	4	1	3	0	0	2	2
CALICO Journal	Equinox Publishing	EBSCOhost		96425	0742-7778	2056-9017	2	0	2	1	0	1	0
CNS Drugs	Springer Nature	EBSCOhost		18337	1172-7047	1179-1934	1	0	1	1	0	0	0
California English	California Association of Teachers of English	EBSCOhost		222771	0279-1161		1	0	1	1	0	0	0
Cambridge Review of International Affairs	Taylor & Francis	EBSCOhost		14932	0955-7571	1474-449X	1	0	1	0	1	0	0
Canada's History	Canada's History Society	EBSCOhost		709648	1920-9894		2	1	1	0	1	1	0
Canadian Historical Review	University of Toronto Press	EBSCOhost		15169	0008-3755	1710-1093	1	0	1	0	0	1	0
Canadian Journal of Civil Engineering = Revue canadienne de génie civil	Canadian Science Publishing	EBSCOhost		15223	0315-1468	1208-6029	1	0	1	0	0	0	1
Canadian Journal of Education	Canadian Society for the Study of Education	EBSCOhost		15253	0380-2361	1918-5979	1	1	0	0	0	1	0
Canadian Journal of History = Annales Canadiennes d'Histoire	University of Toronto Press	EBSCOhost		15278	0008-4107	2292-8502	1	0	1	0	0	0	1
Canadian Journal of Physics = Revue canadienne de physique	Canadian Science Publishing	EBSCOhost		15321	0008-4204	1208-6045	8	0	8	8	0	0	0
Canadian Literature	University of British Columbia	EBSCOhost		15391	0008-4360		1	0	1	0	0	0	1
Canadian University Music Review / Revue de musique des universités canadiennes	Canadian University Music Society / Société de musique des universités canadiennes	EBSCOhost		488610	0710-0353	2291-2436	1	0	1	0	0	1	0
Canadian review of American studies	University of Toronto Press	EBSCOhost		15460	0007-7720	1710-114X	1	0	1	0	0	0	1
Carbon & Climate Law Review: CCLR	Lexxion Verlagsgesell MBH	EBSCOhost		426995	1864-9904	2190-8230	2	0	2	1	0	0	1
Career Development Quarterly	Wiley-Blackwell	EBSCOhost		15752	0889-4019	2161-0045	1	0	1	0	0	1	0
Cartographica	University of Toronto Press	EBSCOhost		15873	0317-7173	1911-9925	1	0	1	1	0	0	0
Case Western Reserve Law Review	Case Western Reserve University School of Law	EBSCOhost		15901	0008-7262	1942-8308	2	0	2	0	2	0	0
Central Asian Survey	Taylor & Francis	EBSCOhost		16227	0263-4937	1465-3354	1	0	1	1	0	0	0
Central European History	Cambridge University Press	EBSCOhost		16246	0008-9389	1569-1616	3	2	1	0	2	0	1
Cephalalgia	SAGE Publications	EBSCOhost		16306	0333-1024	1468-2982	1	0	1	0	0	1	0
Child Development	Wiley-Blackwell	EBSCOhost		17048	0009-3920	1467-8624	15	1	14	1	3	4	7
Children's Geographies	Taylor & Francis	EBSCOhost		99178	1473-3285	1473-3277	2	0	2	2	0	0	0
Children's Literature in Education	Springer Science+Business Media B.V.	EBSCOhost		17122	0045-6713	1573-1693	20	2	18	6	8	1	5
Christian History & Biography	Christianity Today International	EBSCOhost		146229	1548-1956	1548-1948	1	0	1	0	1	0	0
Christian Science Monitor	Christian Science Publishing Society	EBSCOhost		17456	0882-7729	2166-3262	4	4	0	0	0	0	4
Chronicle of Higher Education	Chronicle of Higher Education	EBSCOhost		17482	0009-5982	1931-1362	1	1	0	1	0	0	0
Church History: Studies in Christianity and Culture	Cambridge University Press	EBSCOhost		17536	0009-6407	1755-2613	1	1	0	0	0	0	1
Cinéaste	Cineaste Publishers Incorporated	EBSCOhost		17655	0009-7004	2641-9238	4	4	0	2	1	1	0
Classical Journal	Classical Association of the Middle West & South, Inc.	EBSCOhost		17880	0009-8353	2327-5812	1	1	0	0	0	1	0
Clinical Child and Family  Psychology Review	Springer Nature	EBSCOhost		18066	1096-4037	1573-2827	1	0	1	0	0	0	1
Clinical drug investigation	Adis International Limited	EBSCOhost		18071	1173-2563	1179-1918	1	0	1	0	0	0	1
Cognition and Emotion	Taylor & Francis	EBSCOhost		18459	0269-9931	1464-0600	3	1	2	2	0	0	1
College Literature	Johns Hopkins University Press	EBSCOhost		18612	0093-3139	1542-4286	1	0	1	0	0	0	1
College Student Journal	Project Innovation of Mobile	EBSCOhost		18629	0146-3934		2	1	1	1	1	0	0
Colombian Applied Linguistics Journal	Universidad Distrital Francisco Jose de Caldas	EBSCOhost		1437664	0123-4641	2248-7085	1	0	1	1	0	0	0
Commonweal	Commonweal	EBSCOhost		18975	0010-3330	2163-3797	1	1	0	0	0	1	0
Community College Journal	American Association of Community Colleges	EBSCOhost		19129	1067-1803	2151-755X	2	0	2	2	0	0	0
Comparative Literature	Duke University Press	EBSCOhost		19252	0010-4124	1945-8517	1	0	1	0	0	1	0
Comparative Professional Pedagogy	De Gruyter	EBSCOhost		7207673	2308-4081		1	0	1	0	0	0	1
Computational Mechanics	Springer Nature	EBSCOhost		19566	0178-7675	1432-0924	1	0	1	0	0	0	1
Computer Music Journal	MIT Press	EBSCOhost		19664	0148-9267	1531-5169	7	1	6	5	2	0	0
Computers in the Schools	Taylor & Francis	EBSCOhost		19812	0738-0569	1528-7033	1	0	1	0	0	1	0
Comunicar	Grupo Comunicar	EBSCOhost		383369	1134-3478	1988-3293	3	0	3	0	0	2	1
Congressional Digest	Congressional Digest Corporation	EBSCOhost		20070	0010-5899		5	0	5	0	5	0	0
Constructivist Foundations	Center Leo Apostel for Interdisciplinary Research, Vrije Universiteit Brussel, Belgium	EBSCOhost		336413		1782-348X	4	0	4	0	0	4	0
Contemporary Educational Technology	Ali Simsek	EBSCOhost		607254	1309-517X		1	0	1	0	0	0	1
Contemporary French & Francophone Studies	Taylor & Francis	EBSCOhost		148664	1740-9292	1740-9306	3	2	1	0	0	0	3
Contemporary Hypnosis : The Journal of the British Society of Experimental and Clinical Hypnosis	Crown House Publishing	EBSCOhost		20337	0960-5290	1557-0711	28	0	28	28	0	0	0
Contemporary Music Review	Taylor & Francis	EBSCOhost		20357	0749-4467	1477-2256	4	0	4	3	1	0	0
Contemporary Politics	Taylor & Francis	EBSCOhost		20371	1356-9775	1469-3631	1	0	1	0	0	1	0
Contemporary Review	Contemporary Review Company Limited	EBSCOhost		20376	0010-7565		1	0	1	1	0	0	0
Cosmopolitan Civil Societies: An Interdisciplinary Journal	Uts Cosmopolitan Civil Societies Research Centre	EBSCOhost		560356		1837-5391	1	0	1	1	0	0	0
Counselling Psychology Quarterly	Taylor & Francis	EBSCOhost		20971	0951-5070	1469-3674	2	0	2	2	0	0	0
Craft Arts International	Craft Art Pty Limited	EBSCOhost		21215	1038-846X		9	7	2	0	0	2	7
Creativity Research Journal	Taylor & Francis	EBSCOhost		21302	1040-0419	1532-6934	8	8	0	0	4	4	0
Critical Public Health	Taylor & Francis	EBSCOhost		21475	0958-1596	1469-3682	1	0	1	0	0	1	0
Crustaceana	Brill	EBSCOhost		21620	0011-216X	1568-5403	1	0	1	0	0	1	0
Culture and Organization	Taylor & Francis	EBSCOhost		71893	1475-9551	1477-2760	1	0	1	1	0	0	0
Culture, Health & Sexuality	Taylor & Francis	EBSCOhost		21806	1369-1058	1464-5351	2	0	2	0	1	1	0
Cumhuriyet International Journal of Education	University of Cumhuriyet, Faculty of Sciences & Arts	EBSCOhost		1585355		2147-1606	1	0	1	0	0	0	1
Current Science (Indian Academy of Sciences)	Indian Academy of Sciences	EBSCOhost		93440	0011-3891		2	0	2	0	0	2	0
Curriculum Review	PaperClip Communications	EBSCOhost		22124	0147-2453	1944-9534	2	2	0	2	0	0	0
Customer Relationship Management : CRM	Information Today Incorporated	EBSCOhost		144130	1529-8728	2169-043X	15	0	15	15	0	0	0
DIE-Zeitschrift für Erwachsenenbildung	W. Bertelsmann Verlag	EBSCOhost		4204176	0945-3164		2	0	2	2	0	0	0
Das Orchester	Schott Music GmbH & Co. KG	EBSCOhost		14918352	0030-4468		3	0	3	1	0	1	1
Dead Sea Discoveries	Brill	EBSCOhost		22593	0929-0761	1568-5179	1	0	1	0	0	1	0
Deakin Law Review	Deakin University	EBSCOhost		22598	1321-3660	1835-9264	3	0	3	0	0	0	3
Death Studies	Taylor & Francis Group	EBSCOhost		22611	0748-1187	1091-7683	2	0	2	0	0	2	0
Design issues	MIT Press	EBSCOhost		23076	0747-9360	1531-4790	1	0	1	0	0	1	0
Deutsches ingenieurblatt	Fachverlag Schiele und Schoen	EBSCOhost		172520	0946-2422		2	0	2	0	0	1	1
Development and change	Wiley-Blackwell	EBSCOhost		23263	0012-155X	1467-7660	1	1	0	0	1	0	0
Developmental Neurorehabilitation	Taylor & Francis	EBSCOhost		277617	1751-8423	1751-8431	6	0	6	2	4	0	0
Die Musikforschung	Baerenreiter Verlag Basel	EBSCOhost		465007	0027-4801		35	0	35	13	1	19	2
Digital Education Review	Universitat de Barcelona	EBSCOhost		794118		2013-9144	1	0	1	0	0	1	0
Discourse and Communication for Sustainable Education	De Gruyter	EBSCOhost		1356391	1691-6301	2255-7547	1	0	1	0	0	0	1
Discourse: Studies in the Cultural Politics of Education	Taylor & Francis	EBSCOhost		23781	0159-6306	1469-3739	4	1	3	1	2	1	0
Diskurs Kindheits- und Jugendforschung	Verlag Barbara Budrich	EBSCOhost		423015	1862-5002	2193-9713	25	0	25	5	4	8	8
Dissent	University of Pennsylvania Press	EBSCOhost		23860	0012-3846	1946-0910	2	0	2	0	2	0	0
Dissonanz		EBSCOhost		11509870	1660-7244		3	0	3	0	0	1	2
Dissonanz = Dissonance		EBSCOhost		14918309	1422-7371		2	0	2	0	0	1	1
Diverse Issues in Higher Education	Cox Matthews and Associates Incorporated	EBSCOhost		190456	1557-5411	2163-5862	1	1	0	0	1	0	0
Early American literature	University of North Carolina Press	EBSCOhost		24558	0012-8163	1534-147X	2	0	2	1	1	0	0
Early Childhood Education Journal	Springer Nature	EBSCOhost		24563	1082-3301	1573-1707	3	0	3	3	0	0	0
Early Music	Oxford University Press	EBSCOhost		24586	0306-1078	1741-7260	3	0	3	1	0	1	1
Early medieval Europe	Wiley-Blackwell	EBSCOhost		24583	0963-9462	1468-0254	1	1	0	0	0	1	0
Early science and medicine	Brill	EBSCOhost		24593	1383-7427	1573-3823	4	0	4	4	0	0	0
Earthwatch Institute Journal	Earthwatch Expedition	EBSCOhost		24672	1526-4092		1	1	0	0	0	1	0
Eastern Journal of European Studies	Alexandru Ioan Cuza University of Iasi	EBSCOhost		665529	2068-651X	2068-6633	1	0	1	0	1	0	0
Education	Project Innovation of Mobile	EBSCOhost		25262	0013-1172		2	2	0	2	0	0	0
Education & Treatment of Children	West Virginia University Press	EBSCOhost		25290	0748-8491	1934-8924	1	1	0	1	0	0	0
Education Digest	Prakken Publications Incorporated	EBSCOhost		25299	0013-127X	1949-0275	3	0	3	0	3	0	0
Education Journal	Education Publishing Company	EBSCOhost		25318	1364-4505		1	0	1	0	0	0	1
Education economics	Taylor & Francis	EBSCOhost		25302	0964-5292	1469-5782	1	1	0	0	0	1	0
Education policy analysis archives	Arizona State University	EBSCOhost		101612		1068-2341	1	0	1	1	0	0	0
Educational Assessment	Taylor & Francis	EBSCOhost		25352	1062-7197	1532-6977	6	0	6	0	0	0	6
Educational Journal of Living Theories	Dublin City University	EBSCOhost		625514	2009-1788		2	0	2	0	0	0	2
Educational Leadership	ASCD	EBSCOhost		25377	0013-1784	1943-5878	4	0	4	0	1	2	1
Educational Philosophy and Theory	Routledge	EBSCOhost		123575	0013-1857	1469-5812	1	0	1	0	0	1	0
Educational Psychologist	Taylor & Francis	EBSCOhost		25409	0046-1520	1532-6985	5	0	5	2	1	1	1
Educational Studies: A Journal of the American Educational Studies Association	Routledge	EBSCOhost		25463	0013-1946	1532-6993	1	0	1	1	0	0	0
Educational Technology, Research and Development	Springer Nature	EBSCOhost		25473	1042-1629	1556-6501	3	0	3	2	1	0	0
Educational action research	Taylor & Francis	EBSCOhost		25339	0965-0792	1747-5074	1	0	1	1	0	0	0
Educational psychology review	Springer Nature	EBSCOhost		25413	1040-726X	1573-336X	16	0	16	0	16	0	0
Educational theory	Wiley-Blackwell	EBSCOhost		25480	0013-2004	1741-5446	3	1	2	0	1	0	2
Electronic Musician	Future Publishing Limited	EBSCOhost		25856	0884-4720	2161-9867	2	2	0	2	0	0	0
Electronics systems & software	Institution of Engineering and Technology - IET	EBSCOhost		106396	1479-8336		1	0	1	0	0	1	0
Engineering and Mining Journal	Mining Media Inc.	EBSCOhost		24511	0095-8948		1	0	1	0	1	0	0
English Studies in Canada	English Studies in Canada	EBSCOhost		26455	0317-0802	1913-4835	1	0	1	0	0	1	0
English literature in transition, 1880-1920	English Literature in Transition	EBSCOhost		302107	0013-8339	1559-2715	1	0	1	0	0	1	0
Environmental Education Research	Taylor & Francis	EBSCOhost		26621	1350-4622	1469-5871	1	0	1	1	0	0	0
Espacio, Tiempo y Educación	Escuela de Administracion y Mercadotecnia del Quindio	EBSCOhost		2924018		2340-7263	3	0	3	3	0	0	0
Essence	Essence	EBSCOhost		773314	0014-0880		1	1	0	0	1	0	0
Essence	Time Inc.	EBSCOhost		26987	0014-0880		12	12	0	0	0	0	12
Ethical Theory and Moral Practice	Springer Nature	EBSCOhost		27130	1386-2820	1572-8447	1	0	1	0	1	0	0
Ethics	University of Chicago Press	EBSCOhost		27131	0014-1704	1539-297X	1	0	1	0	1	0	0
Ethnohistory	Duke University Press	EBSCOhost		27165	0014-1801	1527-5477	2	0	2	1	1	0	0
Etudes grégoriennes	Editions Solesmes	EBSCOhost		17549364	0071-2086		2	0	2	1	0	1	0
Eurasian Journal of Educational Research (EJER)	Ani Yayincilik	EBSCOhost		222776	1302-597X	2528-8911	1	0	1	1	0	0	0
European Food and Feed Law Review : EFFL	Lexxion Verlagsgesell MBH	EBSCOhost		441964	1862-2720	2190-8214	3	0	3	0	3	0	0
European Journal of Contemporary Education	European Researcher	EBSCOhost		1936079	2304-9650	2305-6746	1	0	1	1	0	0	0
European Journal of Education	Wiley-Blackwell	EBSCOhost		27517	0141-8211	1465-3435	1	1	0	0	0	0	1
European Journal of Social Psychology	John Wiley & Sons Incorporated	EBSCOhost		27649	0046-2772	1099-0992	2	0	2	2	0	0	0
European Journal of Theology	Paternoster Periodicals	EBSCOhost		27668	0960-2720		1	0	1	0	1	0	0
European Judaism	Berghahn Books	EBSCOhost		27687	0014-3006	1752-2323	1	0	1	0	0	1	0
European Planning Studies	Taylor & Francis	EBSCOhost		27720	0965-4313	1469-5944	1	1	0	0	0	0	1
European journal of philosophy	Wiley-Blackwell	EBSCOhost		27620	0966-8373	1468-0378	2	0	2	2	0	0	0
Exceptional Children: Journal of the International Council for Exceptional Children	SAGE Publications	EBSCOhost		2655519	0014-4029	2163-5560	3	0	3	0	0	0	3
Exceptionality Education Canada	Exceptionality Education Intl	EBSCOhost		422458	1183-322X		1	0	1	0	1	0	0
Exchange Magazine	Exchange Press Inc.	EBSCOhost		17037	1946-0406		1	0	1	0	0	1	0
Family relations	Wiley-Blackwell	EBSCOhost		28392	0197-6664	1741-3729	2	2	0	0	0	2	0
Farmers Weekly	Reed Business Information Ltd	EBSCOhost		28485	0014-8474	2059-3422	4	4	0	0	4	0	0
Feminist Economics	Taylor & Francis	EBSCOhost		28752	1354-5701	1466-4372	1	0	1	0	0	1	0
Film Criticism	Film Criticism	EBSCOhost		28878	0163-5069	2471-4364	1	0	1	1	0	0	0
Florida Journal of Educational Administration & Policy	University of Florida	EBSCOhost		336435		1942-3497	2	0	2	0	0	2	0
Fontes artis musicae	International Association Music Library	EBSCOhost		29544	0015-6191	2471-156X	3	0	3	1	0	0	2
Foreign Affairs	Council on Foreign Relations	EBSCOhost		29701	0015-7120	2327-7793	6	3	3	5	0	0	1
Foreign Policy	Foreign Policy Association	EBSCOhost		29715	0015-7228	1945-2276	1	1	0	1	0	0	0
Forum EB	Waxmann Verlag	EBSCOhost		3147254	1433-769X		1	0	1	0	0	0	1
Forum philosophicum : studia a Facultate Philosophica Societatis Jesu Cracoviae edita	Ignatium Academy (Poland)	EBSCOhost		101044	1426-1898		1	0	1	0	1	0	0
Frankfurter Zeitschrift für Musikwissenschaft	Universitat Bern, Institut fur Musikwissenschaft	EBSCOhost		182812		1438-857X	3	0	3	2	0	0	1
GWP: Gesellschaft Wirtschaft Politik	Verlag Barbara Budrich	EBSCOhost		625496	1619-6910		8	0	8	1	3	1	3
Gender and Education	Taylor & Francis	EBSCOhost		30529	0954-0253	1360-0516	1	0	1	1	0	0	0
Geographical Review	Wiley-Blackwell	EBSCOhost		30813	0016-7428	1931-0846	2	2	0	1	0	0	1
Geopolitics	Taylor & Francis	EBSCOhost		71521	1465-0045	1557-3028	6	5	1	0	0	5	1
German History: Journal of the German History Society	Oxford University Press	EBSCOhost		31014	0266-3554	1477-089X	2	0	2	0	1	0	1
German Politics	Taylor & Francis	EBSCOhost		31028	0964-4008	1743-8993	1	1	0	0	0	0	1
German Politics and Society	Berghahn Books	EBSCOhost		31029	1045-0300	1558-5441	2	0	2	1	0	0	1
German Quarterly	Wiley-Blackwell	EBSCOhost		31030	0016-8831	1756-1183	2	2	0	1	1	0	0
GiST : Education and Learning Research Journal	Institucion Universitaria Colombo Americana (UNICA)	EBSCOhost		1341617	1692-5777	2248-8391	1	0	1	1	0	0	0
Global Education Journal	Franklin Publishing Company	EBSCOhost		910072	2152-3622		1	0	1	0	1	0	0
Global Networks: A Journal of Transnational Affairs	Wiley-Blackwell	EBSCOhost		31326	1470-2266	1471-0374	1	0	1	0	1	0	0
Good words for the young	American Antiquarian Society	EBSCOhost		557373			1	0	0	0	0	0	1
